country_code,region,year,cholera_cases
AFG,Eastern Mediterranean,2000,4330.0
AFG,Eastern Mediterranean,2001,4499.0
AFG,Eastern Mediterranean,2002,3.0
AFG,Eastern Mediterranean,2003,41.0
AFG,Eastern Mediterranean,2005,33.0
AFG,Eastern Mediterranean,2008,4384.0
AFG,Eastern Mediterranean,2009,662.0
AFG,Eastern Mediterranean,2010,2369.0
AFG,Eastern Mediterranean,2011,3733.0
AFG,Eastern Mediterranean,2012,12.0
AFG,Eastern Mediterranean,2013,3957.0
AFG,Eastern Mediterranean,2014,45481.0
AFG,Eastern Mediterranean,2015,58064.0
AFG,Eastern Mediterranean,2016,677.0
AGO,Africa,2006,67257.0
AGO,Africa,2007,18422.0
AGO,Africa,2008,10511.0
AGO,Africa,2009,2019.0
AGO,Africa,2010,1484.0
AGO,Africa,2011,1810.0
AGO,Africa,2012,1215.0
AGO,Africa,2013,6655.0
AGO,Africa,2014,213.0
AGO,Africa,2016,78.0
ARE,Eastern Mediterranean,2002,3.0
AUS,Western Pacific,2000,1.0
AUS,Western Pacific,2001,2.0
AUS,Western Pacific,2002,5.0
AUS,Western Pacific,2004,2.0
AUS,Western Pacific,2005,2.0
AUS,Western Pacific,2006,3.0
AUS,Western Pacific,2007,3.0
AUS,Western Pacific,2010,3.0
AUS,Western Pacific,2011,6.0
AUS,Western Pacific,2012,5.0
AUS,Western Pacific,2013,3.0
AUS,Western Pacific,2014,2.0
AUS,Western Pacific,2015,2.0
AUS,Western Pacific,2016,1.0
AUT,Europe,2002,1.0
AUT,Europe,2005,1.0
BDI,Africa,2000,1021.0
BDI,Africa,2001,1003.0
BDI,Africa,2002,577.0
BDI,Africa,2003,432.0
BDI,Africa,2004,819.0
BDI,Africa,2005,1309.0
BDI,Africa,2006,886.0
BDI,Africa,2007,365.0
BDI,Africa,2008,234.0
BDI,Africa,2009,355.0
BDI,Africa,2010,333.0
BDI,Africa,2011,1072.0
BDI,Africa,2012,214.0
BDI,Africa,2013,1557.0
BDI,Africa,2014,582.0
BDI,Africa,2015,442.0
BDI,Africa,2016,434.0
BEL,Europe,2004,1.0
BEL,Europe,2005,2.0
BEN,Africa,2000,468.0
BEN,Africa,2001,3943.0
BEN,Africa,2002,270.0
BEN,Africa,2003,434.0
BEN,Africa,2004,642.0
BEN,Africa,2005,749.0
BEN,Africa,2006,91.0
BEN,Africa,2008,985.0
BEN,Africa,2009,74.0
BEN,Africa,2010,983.0
BEN,Africa,2011,755.0
BEN,Africa,2012,625.0
BEN,Africa,2013,528.0
BEN,Africa,2014,832.0
BEN,Africa,2016,761.0
BFA,Africa,2000,617.0
BFA,Africa,2001,477.0
BFA,Africa,2003,1.0
BFA,Africa,2005,1050.0
BFA,Africa,2011,20.0
BFA,Africa,2012,143.0
BGD,South-East Asia,2000,1021.0
BHR,Eastern Mediterranean,2015,8.0
BHS,Americas,2011,1.0
BHS,Americas,2012,1.0
BRA,Americas,2000,715.0
BRA,Americas,2001,7.0
BRA,Americas,2004,21.0
BRA,Americas,2005,5.0
BRA,Americas,2011,1.0
BRN,Western Pacific,2011,3.0
BWA,Africa,2008,8.0
BWA,Africa,2009,15.0
CAF,Africa,2004,320.0
CAF,Africa,2011,117.0
CAF,Africa,2012,21.0
CAN,Americas,2000,5.0
CAN,Americas,2001,6.0
CAN,Americas,2002,4.0
CAN,Americas,2003,5.0
CAN,Americas,2004,3.0
CAN,Americas,2005,7.0
CAN,Americas,2006,2.0
CAN,Americas,2007,1.0
CAN,Americas,2008,1.0
CAN,Americas,2009,2.0
CAN,Americas,2010,2.0
CAN,Americas,2011,9.0
CAN,Americas,2013,1.0
CAN,Americas,2014,2.0
CAN,Americas,2015,3.0
CAN,Americas,2016,1.0
CHE,Europe,2006,1.0
CHE,Europe,2015,2.0
CHL,Americas,2011,1.0
CHL,Americas,2013,2.0
CHL,Americas,2014,1.0
CHN,Western Pacific,2000,1846.0
CHN,Western Pacific,2001,140.0
CHN,Western Pacific,2003,223.0
CHN,Western Pacific,2004,244.0
CHN,Western Pacific,2005,980.0
CHN,Western Pacific,2006,161.0
CHN,Western Pacific,2007,168.0
CHN,Western Pacific,2008,174.0
CHN,Western Pacific,2009,85.0
CHN,Western Pacific,2010,157.0
CHN,Western Pacific,2011,26.0
CHN,Western Pacific,2012,77.0
CHN,Western Pacific,2013,53.0
CHN,Western Pacific,2014,24.0
CHN,Western Pacific,2015,13.0
CHN,Western Pacific,2016,27.0
CIV,Africa,2001,5912.0
CIV,Africa,2002,4188.0
