country_code,year,country_name,dengue_cases
ABW,2000,ARUBA,76.0
ABW,2002,ARUBA,25.0
ABW,2004,ARUBA,173.0
ABW,2006,ARUBA,5.0
ABW,2009,ARUBA,845.0
ABW,2010,ARUBA,1700.0
ABW,2011,ARUBA,3025.0
ABW,2013,ARUBA,528.0
ABW,2014,ARUBA,400.0
ABW,2015,ARUBA,335.0
ABW,2016,ARUBA,1319.0
ABW,2017,ARUBA,1734.0
ABW,2018,ARUBA,9.0
ABW,2019,ARUBA,106.0
ABW,2020,ARUBA,11.0
ABW,2021,ARUBA,4.0
ABW,2022,ARUBA,11.0
ABW,2023,ARUBA,22.0
ABW,2024,ARUBA,88.0
AFG,2021,AFGHANISTAN,734.0
AFG,2022,AFGHANISTAN,1341.0
AFG,2023,AFGHANISTAN,1481.0
AFG,2024,AFGHANISTAN,4850.0
AFG,2025,AFGHANISTAN,115.0
AGO,2024,ANGOLA,86.0
AGO,2025,ANGOLA,60.0
AIA,2000,ANGUILLA,3.0
AIA,2001,ANGUILLA,25.0
AIA,2002,ANGUILLA,5.0
AIA,2003,ANGUILLA,2.0
AIA,2008,ANGUILLA,7.0
AIA,2010,ANGUILLA,1.0
AIA,2011,ANGUILLA,9.0
AIA,2012,ANGUILLA,7.0
AIA,2013,ANGUILLA,8.0
AIA,2014,ANGUILLA,86.0
AIA,2015,ANGUILLA,8.0
AIA,2016,ANGUILLA,50.0
AIA,2017,ANGUILLA,22.0
AIA,2018,ANGUILLA,1.0
AIA,2019,ANGUILLA,6.0
AIA,2020,ANGUILLA,6.0
AIA,2023,ANGUILLA,1.0
AIA,2024,ANGUILLA,5.0
ARG,2000,ARGENTINA,1700.0
ARG,2001,ARGENTINA,11.0
ARG,2002,ARGENTINA,214.0
ARG,2003,ARGENTINA,135.0
ARG,2004,ARGENTINA,3284.0
ARG,2005,ARGENTINA,34.0
ARG,2006,ARGENTINA,181.0
ARG,2007,ARGENTINA,173.0
ARG,2008,ARGENTINA,40.0
ARG,2009,ARGENTINA,26606.0
ARG,2010,ARGENTINA,1185.0
ARG,2011,ARGENTINA,213.0
ARG,2012,ARGENTINA,2803.0
ARG,2013,ARGENTINA,9294.0
ARG,2014,ARGENTINA,3270.0
ARG,2015,ARGENTINA,4774.0
ARG,2016,ARGENTINA,79455.0
ARG,2017,ARGENTINA,557.0
ARG,2018,ARGENTINA,1834.0
ARG,2019,ARGENTINA,3283.0
ARG,2020,ARGENTINA,59358.0
ARG,2021,ARGENTINA,3972.0
ARG,2022,ARGENTINA,841.0
ARG,2023,ARGENTINA,152025.0
ARG,2024,ARGENTINA,581559.0
ASM,2001,AMERICAN SAMOA,500.0
ASM,2002,AMERICAN SAMOA,1185.0
ASM,2006,AMERICAN SAMOA,53.0
ASM,2007,AMERICAN SAMOA,126.0
ASM,2008,AMERICAN SAMOA,649.0
ASM,2009,AMERICAN SAMOA,419.0
ASM,2010,AMERICAN SAMOA,51.0
ASM,2015,AMERICAN SAMOA,479.0
ASM,2017,AMERICAN SAMOA,111.0
ASM,2019,AMERICAN SAMOA,4.0
ATG,2000,ANTIGUA AND BARBUDA,8.0
ATG,2001,ANTIGUA AND BARBUDA,20.0
ATG,2002,ANTIGUA AND BARBUDA,5.0
ATG,2008,ANTIGUA AND BARBUDA,17.0
ATG,2009,ANTIGUA AND BARBUDA,2.0
ATG,2010,ANTIGUA AND BARBUDA,3.0
ATG,2011,ANTIGUA AND BARBUDA,7.0
ATG,2012,ANTIGUA AND BARBUDA,10.0
ATG,2013,ANTIGUA AND BARBUDA,3.0
ATG,2014,ANTIGUA AND BARBUDA,37.0
ATG,2015,ANTIGUA AND BARBUDA,14.0
ATG,2016,ANTIGUA AND BARBUDA,103.0
ATG,2017,ANTIGUA AND BARBUDA,1.0
ATG,2018,ANTIGUA AND BARBUDA,8.0
ATG,2019,ANTIGUA AND BARBUDA,1223.0
ATG,2020,ANTIGUA AND BARBUDA,407.0
ATG,2021,ANTIGUA AND BARBUDA,46.0
ATG,2022,ANTIGUA AND BARBUDA,48.0
ATG,2023,ANTIGUA AND BARBUDA,272.0
ATG,2024,ANTIGUA AND BARBUDA,169.0
AUS,2000,AUSTRALIA,217.0
AUS,2001,AUSTRALIA,183.0
AUS,2002,AUSTRALIA,224.0
AUS,2003,AUSTRALIA,868.0
AUS,2004,AUSTRALIA,356.0
AUS,2005,AUSTRALIA,219.0
AUS,2006,AUSTRALIA,188.0
AUS,2007,AUSTRALIA,316.0
AUS,2008,AUSTRALIA,557.0
AUS,2009,AUSTRALIA,1404.0
AUS,2010,AUSTRALIA,1228.0
AUS,2011,AUSTRALIA,821.0
AUS,2012,AUSTRALIA,1539.0
AUS,2013,AUSTRALIA,1841.0
AUS,2014,AUSTRALIA,1721.0
AUS,2015,AUSTRALIA,1716.0
AUS,2016,AUSTRALIA,2239.0
AUS,2017,AUSTRALIA,1135.0
AUS,2018,AUSTRALIA,933.0
AUS,2019,AUSTRALIA,1469.0
AUS,2020,AUSTRALIA,224.0
AUS,2021,AUSTRALIA,11.0
AUS,2022,AUSTRALIA,535.0
AUS,2023,AUSTRALIA,1119.0
AUS,2024,AUSTRALIA,2372.0
AUS,2025,AUSTRALIA,681.0
BEN,2024,BENIN,41.0
BEN,2025,BENIN,4.0
BES,2010,"BONAIRE, SAINT EUSTATIUS AND SABA",166.0
BES,2011,"BONAIRE, SAINT EUSTATIUS AND SABA",939.0
BES,2012,"BONAIRE, SAINT EUSTATIUS AND SABA",121.0
BES,2013,"BONAIRE, SAINT EUSTATIUS AND SABA",444.0
BES,2023,"BONAIRE, SAINT EUSTATIUS AND SABA",10.0
BES,2024,"BONAIRE, SAINT EUSTATIUS AND SABA",207.0
BFA,2024,BURKINA FASO,73808.0
BFA,2025,BURKINA FASO,8915.0
BGD,2000,BANGLADESH,5551.0
BGD,2001,BANGLADESH,2430.0
BGD,2002,BANGLADESH,6132.0
BGD,2003,BANGLADESH,486.0
BGD,2004,BANGLADESH,3934.0
BGD,2005,BANGLADESH,1048.0
BGD,2006,BANGLADESH,2200.0
BGD,2007,BANGLADESH,466.0
BGD,2008,BANGLADESH,1153.0
BGD,2009,BANGLADESH,474.0
BGD,2010,BANGLADESH,409.0
BGD,2011,BANGLADESH,1359.0
BGD,2012,BANGLADESH,671.0
BGD,2013,BANGLADESH,1749.0
BGD,2014,BANGLADESH,375.0
BGD,2015,BANGLADESH,3162.0
BGD,2016,BANGLADESH,6060.0
BGD,2017,BANGLADESH,2769.0
BGD,2018,BANGLADESH,10148.0
BGD,2019,BANGLADESH,104954.0
BGD,2020,BANGLADESH,1405.0
BGD,2021,BANGLADESH,26151.0
BGD,2022,BANGLADESH,62408.0
BGD,2023,BANGLADESH,321138.0
BGD,2024,BANGLADESH,101214.0
BGD,2025,BANGLADESH,1871.0
BHS,2003,BAHAMAS,180.0
BHS,2004,BAHAMAS,1.0
BHS,2006,BAHAMAS,1.0
BHS,2008,BAHAMAS,1.0
BHS,2009,BAHAMAS,1.0
BHS,2010,BAHAMAS,10.0
BHS,2011,BAHAMAS,6997.0
BHS,2012,BAHAMAS,3.0
BHS,2013,BAHAMAS,3.0
BHS,2014,BAHAMAS,146.0
BHS,2015,BAHAMAS,10.0
BHS,2016,BAHAMAS,82.0
BHS,2017,BAHAMAS,14.0
BHS,2018,BAHAMAS,10.0
BHS,2019,BAHAMAS,27.0
BHS,2020,BAHAMAS,3.0
BHS,2023,BAHAMAS,243.0
BLM,2009,SAINT BARTHELEMY,804.0
BLM,2011,SAINT BARTHELEMY,23.0
BLM,2012,SAINT BARTHELEMY,40.0
BLM,2013,SAINT BARTHELEMY,966.0
BLM,2014,SAINT BARTHELEMY,56.0
BLM,2015,SAINT BARTHELEMY,428.0
BLM,2016,SAINT BARTHELEMY,78.0
BLM,2017,SAINT BARTHELEMY,55.0
BLM,2019,SAINT BARTHELEMY,20.0
BLM,2020,SAINT BARTHELEMY,1616.0
BLM,2021,SAINT BARTHELEMY,70.0
BLM,2022,SAINT BARTHELEMY,93.0
BLM,2023,SAINT BARTHELEMY,762.0
BLM,2024,SAINT BARTHELEMY,173.0
BLZ,2000,BELIZE,4.0
BLZ,2001,BELIZE,3.0
BLZ,2002,BELIZE,41.0
