country_code,year,dengue_cases,predicted_cases
AFG,2022,1341.0,2305.7925
AFG,2023,1481.0,4855.074
AFG,2024,4850.0,4809.2886
AGO,2024,86.0,695.1302
AUS,2022,535.0,322.27075
AUS,2023,1119.0,2390.2458
AUS,2024,2372.0,1321.2041
BEN,2024,41.0,810.3698
BFA,2024,73808.0,992.69995
BTN,2022,123.0,178.92346
BTN,2023,626.0,3909.1765
BTN,2024,156.0,1338.329
CHL,2024,157.0,-91.45178
CHN,2022,487.0,10960.436
CHN,2023,19627.0,2094.587
CHN,2024,24330.0,8678.272
CIV,2023,3922.0,445.74573
CIV,2024,6134.0,3915.4468
CMR,2024,57.0,783.5549
CUB,2022,3036.0,1307.3157
CUB,2024,985.0,2923.2393
DOM,2022,10784.0,1265.6956
DOM,2023,28737.0,9881.295
DOM,2024,10251.0,12750.676
ESP,2023,3.0,499.5486
ESP,2024,10.0,499.5486
GHA,2024,1163.0,1054.551
GIN,2024,2.0,798.9138
HTI,2022,3316.0,11844.336
LKA,2022,76689.0,46908.23
LKA,2023,88659.0,73625.74
LKA,2024,33236.0,22506.092
MEX,2022,59918.0,43849.582
MEX,2023,281615.0,230101.56
MEX,2024,558846.0,103743.38
PHL,2022,220020.0,166343.28
PHL,2023,71474.0,189056.02
TGO,2023,55.0,917.3772
THA,2022,46678.0,53694.465
THA,2023,159219.0,22107.4
THA,2024,104681.0,82646.82
