date,temp_max_c,temp_min_c,temp_mean_c,precipitation_mm,rain_mm,latitude,longitude
2023-01-01,18.3,7.8,12.5,0.0,0.0,28.6139,77.209
2023-01-02,18.1,6.2,12.2,0.0,0.0,28.6139,77.209
2023-01-03,16.5,6.0,10.6,0.0,0.0,28.6139,77.209
2023-01-04,16.5,5.4,9.7,0.0,0.0,28.6139,77.209
2023-01-05,15.4,5.3,8.9,0.0,0.0,28.6139,77.209
2023-01-06,14.1,4.8,8.3,0.0,0.0,28.6139,77.209
2023-01-07,15.2,3.8,8.2,0.0,0.0,28.6139,77.209
2023-01-08,17.0,5.7,10.1,0.0,0.0,28.6139,77.209
2023-01-09,17.4,5.7,11.1,0.0,0.0,28.6139,77.209
2023-01-10,18.4,7.4,11.5,0.0,0.0,28.6139,77.209
2023-01-11,19.6,7.6,12.1,0.0,0.0,28.6139,77.209
2023-01-12,20.0,9.8,14.5,0.1,0.1,28.6139,77.209
2023-01-13,18.5,10.6,13.9,18.2,18.2,28.6139,77.209
2023-01-14,17.0,7.9,12.1,0.0,0.0,28.6139,77.209
2023-01-15,15.2,5.4,9.4,0.0,0.0,28.6139,77.209
2023-01-16,15.5,3.7,9.0,0.0,0.0,28.6139,77.209
2023-01-17,16.4,3.5,9.0,0.0,0.0,28.6139,77.209
2023-01-18,16.5,3.2,9.2,0.0,0.0,28.6139,77.209
2023-01-19,18.4,6.4,12.2,0.3,0.3,28.6139,77.209
2023-01-20,19.6,9.6,14.0,0.0,0.0,28.6139,77.209
2023-01-21,20.5,6.9,13.2,0.0,0.0,28.6139,77.209
2023-01-22,21.6,8.1,14.1,0.0,0.0,28.6139,77.209
2023-01-23,22.8,8.4,15.5,0.0,0.0,28.6139,77.209
2023-01-24,21.2,13.1,16.9,11.3,11.3,28.6139,77.209
2023-01-25,21.0,11.9,16.4,1.0,1.0,28.6139,77.209
2023-01-26,19.0,9.9,14.3,0.0,0.0,28.6139,77.209
2023-01-27,18.5,7.5,12.1,0.0,0.0,28.6139,77.209
2023-01-28,20.7,6.5,12.5,0.0,0.0,28.6139,77.209
2023-01-29,16.4,8.3,12.8,4.2,4.2,28.6139,77.209
2023-01-30,16.1,10.4,13.2,10.2,10.2,28.6139,77.209
2023-01-31,20.5,9.6,14.1,0.0,0.0,28.6139,77.209
2023-02-01,19.9,9.4,13.7,0.0,0.0,28.6139,77.209
2023-02-02,21.5,9.4,14.7,0.0,0.0,28.6139,77.209
2023-02-03,22.4,9.6,15.0,0.0,0.0,28.6139,77.209
2023-02-04,22.6,10.3,15.9,0.0,0.0,28.6139,77.209
2023-02-05,23.2,10.9,17.0,0.0,0.0,28.6139,77.209
2023-02-06,25.1,10.4,17.6,0.0,0.0,28.6139,77.209
2023-02-07,23.4,13.1,17.1,0.0,0.0,28.6139,77.209
2023-02-08,22.5,10.1,15.7,0.0,0.0,28.6139,77.209
2023-02-09,25.8,9.9,17.3,0.0,0.0,28.6139,77.209
2023-02-10,25.5,12.9,18.6,0.0,0.0,28.6139,77.209
2023-02-11,25.9,13.3,18.9,0.0,0.0,28.6139,77.209
2023-02-12,21.9,10.6,15.8,0.0,0.0,28.6139,77.209
2023-02-13,21.0,9.8,15.0,0.0,0.0,28.6139,77.209
2023-02-14,23.5,10.9,16.8,0.0,0.0,28.6139,77.209
2023-02-15,25.6,12.8,18.3,0.0,0.0,28.6139,77.209
2023-02-16,26.1,11.5,18.3,0.0,0.0,28.6139,77.209
2023-02-17,26.6,13.3,19.6,0.0,0.0,28.6139,77.209
2023-02-18,26.4,12.5,19.0,0.0,0.0,28.6139,77.209
2023-02-19,27.9,14.8,21.0,0.0,0.0,28.6139,77.209
2023-02-20,30.6,15.2,22.3,0.0,0.0,28.6139,77.209
2023-02-21,29.0,15.1,21.9,0.0,0.0,28.6139,77.209
2023-02-22,28.4,13.4,20.5,0.0,0.0,28.6139,77.209
2023-02-23,27.4,13.9,20.0,0.0,0.0,28.6139,77.209
2023-02-24,27.9,13.0,19.8,0.0,0.0,28.6139,77.209
2023-02-25,28.4,13.4,21.0,0.0,0.0,28.6139,77.209
2023-02-26,29.5,14.4,22.3,0.0,0.0,28.6139,77.209
2023-02-27,29.8,15.6,22.2,0.0,0.0,28.6139,77.209
2023-02-28,29.3,14.2,21.6,0.0,0.0,28.6139,77.209
2023-03-01,29.7,15.6,21.8,0.0,0.0,28.6139,77.209
2023-03-02,30.0,15.1,22.1,0.0,0.0,28.6139,77.209
2023-03-03,30.5,16.8,22.6,0.0,0.0,28.6139,77.209
2023-03-04,29.8,17.5,22.4,0.0,0.0,28.6139,77.209
2023-03-05,29.6,16.3,22.4,0.0,0.0,28.6139,77.209
2023-03-06,28.7,15.9,21.7,0.0,0.0,28.6139,77.209
2023-03-07,28.7,15.8,21.8,0.0,0.0,28.6139,77.209
2023-03-08,28.1,14.8,21.3,0.2,0.2,28.6139,77.209
2023-03-09,27.5,15.9,21.0,0.5,0.5,28.6139,77.209
2023-03-10,29.1,15.5,22.3,0.0,0.0,28.6139,77.209
2023-03-11,30.0,16.2,23.2,0.0,0.0,28.6139,77.209
2023-03-12,31.9,17.0,24.3,0.0,0.0,28.6139,77.209
2023-03-13,32.0,17.5,24.3,0.0,0.0,28.6139,77.209
2023-03-14,31.5,17.2,24.2,0.0,0.0,28.6139,77.209
2023-03-15,32.2,17.2,24.8,0.0,0.0,28.6139,77.209
2023-03-16,31.9,19.0,24.5,0.1,0.1,28.6139,77.209
2023-03-17,28.5,19.5,22.9,1.7,1.7,28.6139,77.209
2023-03-18,26.8,16.7,20.4,0.3,0.3,28.6139,77.209
2023-03-19,25.1,15.2,19.8,0.7,0.7,28.6139,77.209
2023-03-20,23.6,16.1,18.7,24.3,24.3,28.6139,77.209
2023-03-21,23.0,14.6,18.3,3.2,3.2,28.6139,77.209
2023-03-22,26.3,14.0,19.5,0.0,0.0,28.6139,77.209
2023-03-23,28.0,15.4,21.5,0.0,0.0,28.6139,77.209
2023-03-24,27.5,17.2,21.6,15.8,15.8,28.6139,77.209
2023-03-25,26.2,17.4,21.2,1.1,1.1,28.6139,77.209
2023-03-26,27.5,16.5,21.8,0.0,0.0,28.6139,77.209
2023-03-27,26.8,15.4,20.8,0.0,0.0,28.6139,77.209
2023-03-28,28.1,15.2,21.8,0.0,0.0,28.6139,77.209
2023-03-29,30.8,16.6,23.3,0.2,0.2,28.6139,77.209
2023-03-30,30.8,17.5,21.8,5.7,5.7,28.6139,77.209
2023-03-31,24.1,17.0,19.6,9.4,9.4,28.6139,77.209
2023-04-01,25.7,15.1,20.1,0.9,0.9,28.6139,77.209
2023-04-02,28.3,15.9,22.2,0.0,0.0,28.6139,77.209
2023-04-03,31.2,16.4,23.3,0.0,0.0,28.6139,77.209
2023-04-04,28.0,17.2,22.2,0.2,0.2,28.6139,77.209
2023-04-05,30.2,16.2,22.9,0.0,0.0,28.6139,77.209
2023-04-06,31.3,16.6,23.9,0.0,0.0,28.6139,77.209
2023-04-07,31.2,17.4,24.3,0.0,0.0,28.6139,77.209
2023-04-08,31.8,17.1,24.4,0.0,0.0,28.6139,77.209
2023-04-09,33.1,18.0,26.2,0.0,0.0,28.6139,77.209
2023-04-10,33.2,19.7,26.4,0.0,0.0,28.6139,77.209
2023-04-11,35.9,19.4,27.7,0.0,0.0,28.6139,77.209
2023-04-12,36.3,23.0,29.4,0.0,0.0,28.6139,77.209
2023-04-13,37.2,22.1,29.5,0.0,0.0,28.6139,77.209
2023-04-14,37.3,21.8,29.5,0.0,0.0,28.6139,77.209
2023-04-15,39.1,22.0,30.9,0.0,0.0,28.6139,77.209
2023-04-16,39.2,22.7,31.3,0.0,0.0,28.6139,77.209
2023-04-17,39.0,24.4,32.5,0.0,0.0,28.6139,77.209
2023-04-18,39.1,25.5,32.6,0.0,0.0,28.6139,77.209
2023-04-19,37.2,25.1,29.8,0.0,0.0,28.6139,77.209
2023-04-20,34.7,23.3,28.1,0.0,0.0,28.6139,77.209
2023-04-21,35.2,22.4,28.8,0.0,0.0,28.6139,77.209
2023-04-22,35.1,20.8,28.6,0.0,0.0,28.6139,77.209
2023-04-23,33.8,20.9,26.9,0.0,0.0,28.6139,77.209
2023-04-24,31.9,20.0,26.1,0.0,0.0,28.6139,77.209
2023-04-25,33.2,20.5,27.1,0.0,0.0,28.6139,77.209
2023-04-26,35.5,22.1,28.9,0.0,0.0,28.6139,77.209
2023-04-27,35.8,23.6,29.1,0.0,0.0,28.6139,77.209
2023-04-28,33.5,22.4,27.9,0.0,0.0,28.6139,77.209
2023-04-29,33.3,21.8,26.4,0.6,0.6,28.6139,77.209
2023-04-30,30.4,21.1,24.6,1.4,1.4,28.6139,77.209
2023-05-01,27.8,19.8,22.1,5.4,5.4,28.6139,77.209
2023-05-02,28.0,19.3,22.5,5.4,5.4,28.6139,77.209
2023-05-03,28.2,19.9,22.4,6.8,6.8,28.6139,77.209
2023-05-04,29.6,18.7,24.2,0.0,0.0,28.6139,77.209
2023-05-05,30.8,20.6,25.9,5.4,5.4,28.6139,77.209
2023-05-06,35.3,20.7,27.4,0.0,0.0,28.6139,77.209
2023-05-07,36.0,22.0,28.9,0.0,0.0,28.6139,77.209
2023-05-08,36.6,21.9,29.2,0.0,0.0,28.6139,77.209
2023-05-09,37.1,21.4,29.5,0.0,0.0,28.6139,77.209
2023-05-10,36.5,21.9,29.7,0.0,0.0,28.6139,77.209
2023-05-11,38.9,22.0,31.0,0.0,0.0,28.6139,77.209
2023-05-12,41.7,23.0,33.3,0.0,0.0,28.6139,77.209
2023-05-13,41.5,25.0,33.3,0.0,0.0,28.6139,77.209
2023-05-14,40.5,26.5,32.5,0.0,0.0,28.6139,77.209
2023-05-15,40.5,25.1,33.4,0.0,0.0,28.6139,77.209
2023-05-16,38.5,26.8,32.4,0.0,0.0,28.6139,77.209
2023-05-17,40.9,26.0,33.2,0.0,0.0,28.6139,77.209
2023-05-18,38.0,23.9,31.0,0.0,0.0,28.6139,77.209
2023-05-19,37.8,25.9,31.6,0.0,0.0,28.6139,77.209
2023-05-20,40.0,24.8,32.8,0.0,0.0,28.6139,77.209
2023-05-21,42.4,25.4,34.8,0.0,0.0,28.6139,77.209
2023-05-22,42.1,29.8,36.1,0.0,0.0,28.6139,77.209
2023-05-23,43.6,30.0,35.3,1.0,1.0,28.6139,77.209
2023-05-24,37.7,26.2,30.8,0.2,0.2,28.6139,77.209
2023-05-25,33.8,23.4,28.2,0.2,0.2,28.6139,77.209
2023-05-26,34.5,22.6,28.5,0.0,0.0,28.6139,77.209
2023-05-27,33.8,21.0,27.1,19.2,19.2,28.6139,77.209
2023-05-28,33.8,24.0,27.4,0.3,0.3,28.6139,77.209
2023-05-29,34.0,22.5,27.1,1.2,1.2,28.6139,77.209
2023-05-30,34.1,22.7,27.3,0.1,0.1,28.6139,77.209
2023-05-31,30.9,21.6,24.9,2.9,2.9,28.6139,77.209
2023-06-01,33.6,19.9,26.4,0.4,0.4,28.6139,77.209
2023-06-02,33.0,22.0,27.5,1.3,1.3,28.6139,77.209
2023-06-03,34.8,22.7,29.2,0.0,0.0,28.6139,77.209
2023-06-04,36.2,23.9,29.2,1.6,1.6,28.6139,77.209
2023-06-05,37.1,25.1,30.4,0.1,0.1,28.6139,77.209
2023-06-06,38.8,24.1,31.4,0.0,0.0,28.6139,77.209
2023-06-07,38.4,25.0,32.1,0.0,0.0,28.6139,77.209
2023-06-08,39.2,25.1,32.7,0.0,0.0,28.6139,77.209
2023-06-09,40.8,26.0,34.2,0.0,0.0,28.6139,77.209
2023-06-10,40.3,26.5,34.4,0.0,0.0,28.6139,77.209
2023-06-11,39.2,28.1,33.8,0.0,0.0,28.6139,77.209
2023-06-12,41.0,29.0,34.9,0.0,0.0,28.6139,77.209
2023-06-13,41.8,30.2,36.2,0.0,0.0,28.6139,77.209
2023-06-14,40.5,30.6,35.6,0.0,0.0,28.6139,77.209
2023-06-15,37.3,30.3,33.2,0.4,0.4,28.6139,77.209
2023-06-16,38.7,27.4,32.2,1.2,1.2,28.6139,77.209
2023-06-17,39.3,26.3,32.9,0.3,0.3,28.6139,77.209
2023-06-18,38.7,28.4,32.1,4.0,4.0,28.6139,77.209
2023-06-19,32.3,27.4,29.6,6.6,6.6,28.6139,77.209
2023-06-20,36.5,26.1,30.6,16.6,16.6,28.6139,77.209
2023-06-21,35.6,25.6,29.3,20.3,20.3,28.6139,77.209
2023-06-22,36.0,27.1,31.4,2.7,2.7,28.6139,77.209
2023-06-23,35.3,26.1,30.8,6.1,6.1,28.6139,77.209
2023-06-24,34.5,27.6,30.9,10.7,10.7,28.6139,77.209
2023-06-25,32.3,25.8,28.0,13.6,13.6,28.6139,77.209
2023-06-26,32.8,25.0,28.0,5.8,5.8,28.6139,77.209
2023-06-27,33.5,25.2,28.7,8.1,8.1,28.6139,77.209
2023-06-28,34.0,26.0,29.1,12.2,12.2,28.6139,77.209
2023-06-29,32.4,25.8,28.5,11.7,11.7,28.6139,77.209
2023-06-30,33.8,25.2,28.8,12.7,12.7,28.6139,77.209
2023-07-01,33.7,24.6,29.1,1.9,1.9,28.6139,77.209
2023-07-02,35.3,25.9,30.5,0.9,0.9,28.6139,77.209
2023-07-03,36.5,27.0,31.1,4.5,4.5,28.6139,77.209
2023-07-04,36.7,26.1,30.7,2.5,2.5,28.6139,77.209
2023-07-05,33.5,24.4,29.1,13.0,13.0,28.6139,77.209
2023-07-06,33.0,25.2,29.0,4.8,4.8,28.6139,77.209
2023-07-07,33.2,24.9,28.5,10.0,10.0,28.6139,77.209
2023-07-08,29.6,26.0,27.2,34.4,34.4,28.6139,77.209
2023-07-09,30.8,25.1,27.0,29.7,29.7,28.6139,77.209
2023-07-10,31.0,25.8,27.6,34.1,34.1,28.6139,77.209
2023-07-11,33.2,25.1,28.5,2.9,2.9,28.6139,77.209
2023-07-12,33.5,25.6,28.5,9.6,9.6,28.6139,77.209
2023-07-13,33.2,26.0,29.1,5.2,5.2,28.6139,77.209
2023-07-14,33.8,25.6,28.5,21.1,21.1,28.6139,77.209
2023-07-15,33.2,26.0,28.6,17.7,17.7,28.6139,77.209
2023-07-16,32.9,25.1,28.6,21.9,21.9,28.6139,77.209
2023-07-17,33.3,26.2,29.0,11.8,11.8,28.6139,77.209
2023-07-18,31.7,25.4,28.2,13.4,13.4,28.6139,77.209
2023-07-19,33.0,26.2,28.9,9.3,9.3,28.6139,77.209
