Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1670558,CHOLERA_0000000001,COUNTRY,TGO,YEAR,AFR,Africa,,1997,,,,,,,,42,,,,,2013-06-11T14:04:28+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
1679642,CHOLERA_0000000001,COUNTRY,KOR,YEAR,WPR,Western Pacific,,1970,,,,,,,,475,,,,,2013-06-11T14:04:28+02:00,1970,1970-01-01T00:00:00+01:00,1970-12-31T00:00:00+01:00
1681327,CHOLERA_0000000001,COUNTRY,KHM,YEAR,WPR,Western Pacific,,1964,,,,,,,,187,,,,,2013-06-11T14:04:28+02:00,1964,1964-01-01T00:00:00+01:00,1964-12-31T00:00:00+01:00
1684852,CHOLERA_0000000001,COUNTRY,GNB,YEAR,AFR,Africa,,2003,,,,,,,,290,,,,,2013-06-11T14:04:28+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1691396,CHOLERA_0000000001,COUNTRY,CIV,YEAR,AFR,Africa,,2010,,,,,,,,32,,,,,2013-06-11T14:04:28+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
1695566,CHOLERA_0000000001,COUNTRY,BEN,YEAR,AFR,Africa,,1976,,,,,,,,146,,,,,2013-06-11T14:04:28+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
1704895,CHOLERA_0000000001,COUNTRY,MRT,YEAR,AFR,Africa,,1989,,,,,,,,700,,,,,2013-06-11T14:04:28+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
1704899,CHOLERA_0000000001,COUNTRY,CIV,YEAR,AFR,Africa,,2003,,,,,,,,1034,,,,,2013-06-11T14:04:28+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
1711600,CHOLERA_0000000001,COUNTRY,ZWE,YEAR,AFR,Africa,,2012,,,,,,,,23,23.0,,,,2013-10-03T09:18:20+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1714072,CHOLERA_0000000001,COUNTRY,MMR,YEAR,SEAR,South-East Asia,,1950,,,,,,,,4212,,,,,2013-06-11T14:04:28+02:00,1950,1950-01-01T00:00:00+01:00,1950-12-31T00:00:00+01:00
1720390,CHOLERA_0000000001,COUNTRY,MYS,YEAR,WPR,Western Pacific,,1954,,,,,,,,1,,,,,2013-06-11T14:04:28+02:00,1954,1954-01-01T00:00:00+01:00,1954-12-31T00:00:00+01:00
